beta,sigma,ramp_data_ramp_bf,ramp_data_step_bf,m,r,step_data_ramp_bf,step_data_step_bf,ML_LLR_step,ML_LLR_ramp
2.8571428571428568,1.0730783181118897,-485.1073058037859,-486.12103332333805,46.42857142857143,2.0,-430.4125909283086,-431.05304418722767,6.906768,6.906768
0.2857142857142857,1.4910374881259758,-444.09948104078114,-445.6949712662943,53.57142857142857,1.0,-360.6345053950473,-362.2679786388276,6.906768,6.906768
2.8571428571428568,2.071789871692484,-544.2605268202216,-547.0311830292538,53.57142857142857,1.0,-399.66891655357995,-401.90325210872487,6.906768,6.906768
1.4285714285714284,2.8787426920046064,-483.7167666547713,-484.11302306531707,50.0,1.0,-379.65225235603174,-385.33195725526775,6.906768,6.906768
0.5714285714285714,1.4910374881259758,-392.42733681322187,-393.396367044271,50.0,1.0,-378.8123591681692,-382.4352305747541,6.906768,6.906768
2.8571428571428568,2.071789871692484,-475.2617070553126,-475.5894022569625,71.42857142857143,1.0,-408.1849220914231,-407.60854323956045,6.906768,6.668129
2.0,0.7722790915532998,-458.3808866341254,-457.6208775479122,75.0,2.0,-355.73301794344394,-356.41794820406346,6.906768,6.906768
2.0,0.2878742692004608,-467.2320934431174,-467.1666341473139,50.0,4.0,-388.8678109322973,-391.20269355909073,6.906768,6.906768
2.0,1.4910374881259758,-468.18060190755295,-467.7553255741636,60.714285714285715,1.0,-396.9402495616648,-398.00997405451614,6.906768,6.906768
2.2857142857142856,2.8787426920046064,-506.454942350161,-508.77714136665674,50.0,3.0,-370.0954635355635,-370.40939991367605,6.906768,6.906768
2.571428571428571,1.4910374881259758,-458.68143806476024,-460.7711449485166,46.42857142857143,1.0,-382.1123873503106,-385.6269858024112,6.906768,6.906768
2.2857142857142856,0.555798197749255,-450.71675819220235,-453.2572183978691,64.28571428571428,2.0,-417.7166867799214,-418.5923814182531,6.906768,6.906768
2.2857142857142856,1.4910374881259758,-469.76232555208276,-471.5033965955634,28.571428571428573,2.0,-428.3547709161666,-427.0890286306767,6.906768,6.906768
1.1428571428571428,0.04000000000000001,-432.9072646537794,-431.4583160115373,42.85714285714286,1.0,-374.7081279358635,-380.15815752767963,6.906768,6.906768
2.571428571428571,2.8787426920046064,-475.71694901608083,-475.5905401753146,64.28571428571428,2.0,-343.3213563046072,-348.3358796113879,6.906768,6.906768
1.7142857142857142,1.0730783181118897,-418.1306554550702,-416.75152742815095,60.714285714285715,2.0,-357.2568257972607,-361.30979009327547,6.906768,6.906768
0.5714285714285714,4.0,-520.8362539233294,-524.1852676438114,39.285714285714285,1.0,-393.64018228458104,-392.9785591763201,6.906768,6.906768
2.8571428571428568,1.0730783181118897,-448.83797955158246,-448.4002689800472,64.28571428571428,1.0,-443.35150963900367,-442.00378791144647,6.906768,6.906768
0.0,0.05557981977492551,-208.06897983490518,-224.0620703976596,53.57142857142857,1.0,-402.35275229138637,-400.5306493318449,6.906768,6.906768
2.8571428571428568,2.8787426920046064,-496.52313822036945,-500.50722276158484,50.0,3.0,-380.82437329775644,-380.5907028167055,6.906768,6.906768
2.0,0.555798197749255,-455.01288176279974,-453.76418322915504,39.285714285714285,2.0,-406.7378428729925,-406.18990663843323,6.906768,6.906768
2.571428571428571,0.7722790915532998,-468.9265636334593,-469.8444904664152,50.0,1.0,-413.0610891006279,-416.53257870914865,3.9975615,6.906768
2.571428571428571,0.7722790915532998,-436.2591717691692,-434.8688186890163,53.57142857142857,2.0,-342.54420301582826,-343.1225483744786,6.906768,6.906768
2.8571428571428568,0.555798197749255,-478.0140053700993,-480.1830269930602,35.714285714285715,1.0,-387.4606449129491,-392.41551215302235,6.906768,6.906768
2.571428571428571,1.4910374881259758,-497.40946795954517,-497.28504841258734,35.714285714285715,1.0,-412.360251588249,-410.20780908079166,6.906768,6.906768
0.2857142857142857,1.0730783181118897,-323.22899869084443,-332.3853900856437,64.28571428571428,1.0,-400.3534265702933,-404.8358000629416,6.906768,6.906768
3.4285714285714284,2.8787426920046064,-485.5330033421902,-487.54374907363746,32.142857142857146,2.0,-437.9708766217481,-437.68000415457317,6.906768,6.906768
1.1428571428571428,1.4910374881259758,-467.9408260158649,-467.4883888111374,39.285714285714285,1.0,-394.48987444517655,-395.26200734302427,6.906768,0.1473968
2.571428571428571,0.1491037488125976,-472.59922138101206,-473.634805553257,53.57142857142857,4.0,-415.2858457259996,-418.7720582111677,6.906768,6.906768
4.0,1.4910374881259758,-517.247761591673,-520.0490948269005,53.57142857142857,2.0,-346.9662986242165,-346.7037221159473,6.906768,6.906768
