beta,sigma,ramp_data_ramp_bf,ramp_data_step_bf,m,r,step_data_ramp_bf,step_data_step_bf,ML_LLR_step,ML_LLR_ramp
1.4285714285714284,1.0730783181118897,-903.7094574302569,-903.5883062214757,50.0,1.0,-825.6987006966418,-824.084355170975,1.2471658,2.074278
0.5714285714285714,0.07722790915533002,-795.9890106775263,-796.6509130617562,46.42857142857143,1.0,-872.5028695614194,-871.4079005778681,0.24685621,0.94429886
0.2857142857142857,0.05557981977492551,-686.8535088965045,-689.9233886050729,53.57142857142857,1.0,-705.5787855720891,-701.8301921033149,-3.4341161,0.8391891
1.1428571428571428,2.071789871692484,-895.44193544844,-898.4110356824425,42.85714285714286,1.0,-841.3605944936485,-840.3003613603044,-3.5904024,-1.1977627
2.8571428571428568,2.071789871692484,-890.4801293206554,-897.6843358936579,57.142857142857146,1.0,-775.5788411362629,-775.3639058932201,1.5965422,1.8036355
2.0,2.8787426920046064,-878.4133757987935,-883.2754998904286,50.0,1.0,-744.6436173536708,-741.4506155444845,-2.439129,3.524286
2.0,2.071789871692484,-938.132904306041,-942.9749524047182,39.285714285714285,1.0,-824.091137000254,-823.8167667677218,-1.1966252,5.9813905
3.4285714285714284,2.8787426920046064,-902.7533367843254,-905.0172673110521,39.285714285714285,4.0,-831.1832017813732,-829.0979424915193,1.781981,2.44384
1.7142857142857142,0.555798197749255,-869.0090520430741,-870.7285720249623,39.285714285714285,1.0,-818.8072914732529,-814.8480476162642,-0.2939514,1.4814626
1.4285714285714284,0.39999999999999997,-859.6114400928616,-859.4083353703525,57.142857142857146,2.0,-748.3846454386991,-743.3131095399854,-4.0671644,-0.8698131
3.4285714285714284,2.071789871692484,-886.4618054999786,-892.4266613179759,60.714285714285715,2.0,-756.3639856789613,-751.3645273150621,-1.923612,1.307646
1.4285714285714284,0.07722790915533002,-931.6356471701208,-936.4909717499772,57.142857142857146,1.0,-758.8678366299305,-753.1658170457846,-3.07883,3.7999828
0.8571428571428571,1.0730783181118897,-808.3600583179725,-807.5803281342029,57.142857142857146,1.0,-792.5066073698778,-789.3593367168639,-4.371258,-2.8849757
1.4285714285714284,1.4910374881259758,-807.6555103252232,-806.5933982025957,53.57142857142857,1.0,-778.2304286424303,-775.6720859508513,-2.1892743,0.6787219
2.0,2.071789871692484,-853.2809832813231,-854.5472597381137,39.285714285714285,2.0,-801.1918190698636,-797.906082223948,-2.917824,-1.0002902
1.1428571428571428,2.8787426920046064,-880.0294398539074,-885.1382823940887,57.142857142857146,1.0,-813.3708366368471,-810.3707174678344,-0.34218162,5.137947
1.1428571428571428,1.4910374881259758,-921.9043218696387,-927.433805873177,53.57142857142857,1.0,-805.2834080219784,-800.3653523803171,-4.267906,2.70769
2.571428571428571,0.07722790915533002,-896.3092289467777,-901.2457685768717,57.142857142857146,2.0,-776.3280083225594,-768.8838818180434,-4.443795,4.9227853
1.4285714285714284,1.4910374881259758,-847.1526095561901,-852.3424068151857,32.142857142857146,3.0,-837.7817909688961,-836.9439523213863,-0.9197005,0.6733347
2.2857142857142856,2.071789871692484,-849.845713770581,-851.3994352896743,42.85714285714286,1.0,-744.2176135683128,-741.7357528404019,2.355996,-1.8949171
